File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
81fa3847-ffff-4629-885c-16f40e6df399	8659f2c4-7492-46b3-9bbe-ea8ae7bbdd53.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A18N	TCGA-BH-A18N-11A	Solid Tissue Normal
499c5053-c704-445d-a58c-0a02b9f29123	c9719194-63d1-4e32-8ce4-7f0a62319025.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A0A1	TCGA-A8-A0A1-01A	Primary Tumor
932fe85f-b083-4669-b527-a4bd45fc4db6	3a3d56a9-e18a-4346-9350-bed393553080.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0B6	TCGA-BH-A0B6-01A	Primary Tumor
3985f626-17e7-40e2-9429-72df429d2325	e9cbd268-573f-41fc-9f17-d25e1d1c9759.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1NF	TCGA-E9-A1NF-01A	Primary Tumor
68ca3924-e323-488a-b8e2-35652632d2db	3c99f021-2d9a-4322-96d1-27329c4abee3.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A6VV	TCGA-A7-A6VV-01A	Primary Tumor
169951bb-a9c2-4108-9cec-48755bf9cbe6	9fe16c01-88f8-410c-b412-fe0067b10aaa.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A2QI	TCGA-AC-A2QI-01A	Primary Tumor
858aaabe-c850-4f24-99e4-2ef56b5061e5	05eb3daf-d392-4ede-87d6-8f0aef8b6372.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A208	TCGA-BH-A208-11A	Solid Tissue Normal
a59c0c21-d58f-4776-8273-b4451d233627	4b5014a3-d76e-485d-b8fa-6c2bbc9ba308.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A09T	TCGA-A8-A09T-01A	Primary Tumor
e3f0195c-43f6-4e0d-a251-31e6ef836791	79c1a9c6-a12e-4e12-8acd-52a8ea0f9dea.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AN-A0XL	TCGA-AN-A0XL-01A	Primary Tumor
728be0eb-7a5b-42cd-84d9-6a86cec842d5	58050606-3a53-439b-836b-de391c4c630f.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A22B	TCGA-E9-A22B-01A	Primary Tumor
c54676b5-d200-4c18-846d-ca510b0d4865	92891ee4-51a0-4e4d-b6db-70fbb2a756bc.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A27M	TCGA-D8-A27M-01A	Primary Tumor
70fa91a5-a459-4483-a204-2d997863a0fd	daee50d2-e281-4cbc-ae7b-c52460f4920a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0GZ	TCGA-BH-A0GZ-01A	Primary Tumor
baa7d978-9419-4a3d-bfc1-eb74735fb807	5ab6232c-5cba-47ca-af29-3799b0263a58.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A226	TCGA-E9-A226-01A	Primary Tumor
7908cb98-d40b-4f75-9b01-b58479330f35	28973531-fd03-4f86-8cf5-4c6941560c37.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0EW	TCGA-A2-A0EW-01A	Primary Tumor
73ac5334-b388-4375-9c29-2a7422c40c0d	ea8498cf-e0d1-4c68-8459-36aeeca9dd53.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A15O	TCGA-E2-A15O-01A	Primary Tumor
5ff1fabe-4122-4a8f-9a61-96a48f7ae2bc	0b6603e7-a619-40d0-8af8-ddc7d30ffd7e.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AR-A1AY	TCGA-AR-A1AY-01A	Primary Tumor
3c4efae8-0a57-43b2-b6fd-c62f1f33da28	8e21887e-f3ca-4c2c-819a-538952264c23.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A18V	TCGA-BH-A18V-01A	Primary Tumor
26562f3a-6491-477c-888b-8cd9e994233a	eaee0d82-cd7e-47a5-859f-59b7bf5ad6a0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A13G	TCGA-A7-A13G-01B	Primary Tumor
8157b53e-a731-447a-ae72-03b37da7f4e2	9f0d673f-ff69-4d01-910c-f04921b538a2.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A7-A0CE	TCGA-A7-A0CE-01A	Primary Tumor
a51b974c-76ce-403e-a013-c5f3125564c7	043440ba-20d0-47b1-8589-8b89769e5cf1.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AN-A0XR	TCGA-AN-A0XR-01A	Primary Tumor
6e9c7b1c-6d96-4405-aaf5-7a6a269a7ae7	e9422605-b2da-42b0-aa64-a98472834140.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A09I	TCGA-A8-A09I-01A	Primary Tumor
eac607ad-b9d1-4417-8022-c3dc1b7086c8	4ba6c212-ef90-4ab3-b551-35c05cb6df90.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-C8-A275	TCGA-C8-A275-01A	Primary Tumor
f967f8a2-9c61-4b83-b704-5801db2bb965	a586e45b-1f76-4aac-9e12-a7302ebe4217.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AN-A0XS	TCGA-AN-A0XS-01A	Primary Tumor
ecee798d-556c-43ee-9978-d36ea0eb9c8d	8367f33b-6f1e-4fd1-b57c-dcee572553c3.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A1JN	TCGA-D8-A1JN-01A	Primary Tumor
d0f5cfbf-5384-4e93-bfb0-1ea431ac6ceb	cf5790d4-7c94-4b99-9c84-1174a277cefd.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-B6-A0RE	TCGA-B6-A0RE-01A	Primary Tumor
905a7854-81d6-4f69-b5ee-3f84b834a3b0	a0c9781b-0c1e-4dc0-a3f6-84e938b07641.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A1LS	TCGA-E2-A1LS-11A	Solid Tissue Normal
8bf102b9-baf7-4749-bcd0-eca25f600722	23393a6a-bfbc-4dec-9ab5-e78a487a095f.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-EW-A1J5	TCGA-EW-A1J5-01A	Primary Tumor
78170282-e2f5-4c71-b744-cab543e2baa8	f6b9d070-6d11-40f3-9ca0-a20779091825.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-EW-A6SA	TCGA-EW-A6SA-01A	Primary Tumor
ab83e2bc-5df0-4d6a-8650-299eaff10892	471d762f-bd20-4665-9e2f-cc7ce8f94001.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A6IW	TCGA-AC-A6IW-01A	Primary Tumor
bb7e8319-d99a-45c5-be2a-1ece9103718b	327a6650-be57-412e-bc3a-3aaf68d44022.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A1NA	TCGA-E9-A1NA-11A	Solid Tissue Normal
e5a7fd2f-846c-4284-90eb-17fdfa0f0078	25de1c24-bb1d-40a7-b62f-b54d6184426c.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A2-A0YE	TCGA-A2-A0YE-01A	Primary Tumor
ce55c7c3-26f9-41a2-a4b9-c442e284e6b8	8ddc8e8b-d131-4f4e-96ec-078ced613de6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-OL-A5RW	TCGA-OL-A5RW-01A	Primary Tumor
